Alpheratz;0h8m;+29°6';And
Mirach;1h10m;+35°36';And
Almaak;2h4m;+42°18';And
Tarazed;19h46m;+10°36';Aql
Deneb el Okab;19h5m;+13°54';Aql
Altair;19h51m;+8°54';Aql
Althalimain;19h6m;-4°54';Aql
Sadalmelik;22h6m;+0°18';Aqr
Skat;22h55m;-15°48';Aqr
Sadalsuud;21h32m;-5°36';Aqr
Sheratan;1h55m;+20°48';Ari
Hamal;2h7m;+23°30';Ari
Hassaleh;4h57m;+33°12';Aur
Hoedus II;5h7m;+41°12';Aur
Almaaz;5h2m;+43°48';Aur
Menkalinan;6h0m;+44°54';Aur
Capella;5h17m;+46°0';Aur
Muphrid;13h55m;+18°24';Boo
Arcturus;14h16m;+19°12';Boo
Izar;14h45m;+27°6';Boo
Seginus;14h32m;+38°18';Boo
Nekkar;15h2m;+40°24';Boo
Dabih;20h21m;-14°48';Cap
Deneb Algedi;21h47m;-16°6';Cap
Schedar;0h41m;+56°30';Cas
Achird;0h49m;+57°48';Cas
Caph;0h9m;+59°12';Cas
Ruchbah;1h26m;+60°12';Cas
Cih;0h57m;+60°42';Cas
Segin;1h54m;+63°42';Cas
Menkent;14h7m;-36°24';Cen
Alderamin;21h19m;+62°36';Cep
Alphirk;21h29m;+70°36';Cep
Errai;23h39m;+77°36';Cep
Kaffaljidhma;2h43m;+3°12';Cet
Menkar;3h2m;+4°6';Cet
Dheneb;1h9m;-10°12';Cet
Diphda;0h44m;-18°0';Cet
Sirius;6h45m;-16°42';CMa
Mirzam;6h23m;-18°0';CMa
Wezen;7h8m;-26°24';CMa
Aludra;7h24m;-29°18';CMa
Adhara;6h59m;-29°0';CMa
Phurad;6h20m;-30°6';CMa
Procyon;7h39m;+5°12';CMi
Gomeisa;7h27m;+8°18';CMi
Tarf;8h17m;+9°12';Cnc
Phact;5h40m;-34°6';Col
Wazn;5h51m;-35°48';Col
Alphecca;15h35m;+26°42';CrB
Algorel;12h30m;-16°30';Crv
Gienah Ghurab;12h16m;-17°30';Crv
Minkar;12h10m;-22°36';Crv
Kraz;12h34m;-23°24';Crv
Cor Caroli;12h56m;+38°18';CVn
Albireo;19h31m;+28°0';Cyg
Gienah;20h46m;+34°0';Cyg
Sadr;20h22m;+40°18';Cyg
Deneb;20h41m;+45°18';Cyg
Eltanin;17h57m;+51°30';Dra
Rastaban;17h30m;+52°18';Dra
Edasich;15h25m;+59°0';Dra
Aldhibain;16h24m;+61°30';Dra
Aldhibah;17h9m;+65°42';Dra
Tais;19h13m;+67°42';Dra
Zaurak;3h58m;-13°30';Eri
Kursa;5h8m;-5°6';Eri
Rana;3h43m;-9°48';Eri
Alzirr;6h45m;+12°54';Gem
Alhena;6h38m;+16°24';Gem
Propus;6h15m;+22°30';Gem
Tejat;6h23m;+22°30';Gem
Wasat;7h20m;+22°0';Gem
Mebsuta;6h44m;+25°6';Gem
Pollux;7h45m;+28°0';Gem
Castor;7h35m;+31°54';Gem
Rasalgethi;17h15m;+14°24';Her
Kornephoros;16h30m;+21°30';Her
Sarin;17h15m;+24°48';Her
Rutilicus;16h41m;+31°36';Her
Alphard;9h28m;-8°42';Hya
Regulus;10h8m;+12°0';Leo
Denebola;11h49m;+14°36';Leo
Chort;11h14m;+15°24';Leo
Algieba;10h20m;+19°48';Leo
Zosma;11h14m;+20°30';Leo
dhafera;10h17m;+23°24';Leo
Ras Elased Austr;9h46m;+23°48';Leo
Subra;9h41m;+9°54';Leo
Arneb;5h33m;-17°48';Lep
Nihal;5h28m;-20°48';Lep
Zubenelgenubi;14h51m;-16°0';Lib
Brachium;15h04m;-25°18';Lib
Zubeneschamali;15h17m;-9°24';Lib
Sulaphat;18h59m;+32°42';Lyr
Sheliak;18h50m;+33°24';Lyr
Vega;18h37m;+38°48';Lyr
Rasalhague;17h35m;+12°36';Oph
Cebalrai;17h43m;+4°36';Oph
Han;16h37m;-10°36';Oph
Sabik;17h10m;-15°42';Oph
Yed Prior;16h14m;-3°42';Oph
Yed Posterior;16h18m;-4°42';Oph
Bellatrix;5h25m;+6°18';Ori
Betelgeuse;5h55m;+7°25';Ori
Tabit;4h50m;+7°0';Ori
Meissa;5h35m;+9°54';Ori
Mintaka;5h32m;+0°18';Ori
Alnilam;5h36m;-1°12';Ori
Alnitak;5h41m;-1°54';Ori
Algjebbah;5h24m;-2°24';Ori
Hatysa;5h35m;-5°54';Ori
Rigel;5h15m;-8°12';Ori
Saiph;5h48m;-9°42';Ori
Homam;22h41m;+10°48';Peg
Algenib;0h13m;+15°12';Peg
Markab;23h5m;+15°12';Peg
Sadalbari;22h50m;+24°36';Peg
Scheat;23h4m;+28°6';Peg
Matar;22h43m;+30°12';Peg
Baham;22h10m;+6°12';Peg
Enif;21h44m;+9°54';Peg
Gorgonea Tertia;3h5m;+38°48';Per
Algol;3h8m;+41°0';Per
Mirfak;3h24m;+49°54';Per
Fomalhaut;22h58m;-29°36';PsA
Turais;8h8m;-24°18';Pup
Asmidiske;7h49m;-24°54';Pup
Graffias;16h5m;-19°48';Sco
Dschubba;16h0m;-22°36';Sco
Alniyat;16h21m;-25°36';Sco
Antares;16h29m;-26°24';Sco
We;16h50m;-34°18';Sco
Shaula;17h34m;-37°6';Sco
Lesath;17h31m;-37°18';Sco
Girtab;17h42m;-39°0';Sco
Unukalhai;15h44m;+6°24';Ser
Alava;18h21m;-2°54';Ser
Albaldah;9h10m;-21°0';Sgr
Kaus Borealis;18h28m;-25°24';Sgr
Nunki;18h55m;-26°18';Sgr
Kaus Meridionalis;18h21m;-29°48';Sgr
Ascella;19h3m;-29°54';Sgr
Alnasl;18h6m;-30°24';Sgr
Kaus Australis;18h24m;-34°24';Sgr
Aldebaran;4h36m;+16°30';Tau
Ain;4h29m;+19°12';Tau
Alheka;5h38m;+21°6';Tau
Alcyone;3h47m;+24°6';Tau
Elnath;5h26m;+28°36';Tau
Mothallah;1h53m;+29°36';Tri
Alula Borealis;11h18m;+33°6';UMa
Tania Australis;10h22m;+41°30';UMa
Tania Borealis;10h17m;+42°54';UMa
Talita;8h59m;+48°0';UMa
Alkaid;13h48m;+49°18';UMa
Al Haud;9h33m;+51°42';UMa
Phecda;11h54m;+53°42';UMa
Mizar;13h24m;+54°54';UMa
Merak;11h2m;+56°24';UMa
Alioth;12h54m;+56°0';UMa
Megrez;12h15m;+57°0';UMa
Muscida;8h30m;+60°42';UMa
Dubhe;11h4m;+61°48';UMa
Pherkad Major;15h21m;+71°48';UMi
Kochab;14h51m;+74°12';UMi
Polaris;2h32m;+89°18';UMi
Vindemiatrix;13h2m;+11°0';Vir
Auva;12h56m;+3°24';Vir
Heze;13h35m;+0°36';Vir
Porrima;12h42m;-1°30';Vir
Spica;13h25m;-11°12';Vir
