59 And.;2h11m;+39°05';ANDROMEDA;double star;6.1 and 6.8;16;Double stars : White
Sigm 79;1h09m;+44°46';ANDROMEDA;double star;5.7 and 6.8;8;Double stars : White
Almach;2h04m;+42°22';ANDROMEDA;double star;2.1 and 5;9.6;Double stars Orange and Blue
Pi And.;0h37m;+33°46';ANDROMEDA;double star;4.3 and 7;35;Double stars White and Blue
Sigm 3050;23h59m;+33°46';ANDROMEDA;double star;5.8 and 6.6;2.1;Double stars Yellow and Blue
4 Aquarii;20h52m;-5°36';AQUARIUS;double star;6 and 7.4;1;Double stars : White
41 Aquarii;22h15m;-21°02';AQUARIUS;double star;5.3 and 6.6;5.4;Double stars : Yellow
53 Aquarii;22h27m;-16°42';AQUARIUS;double star;6.2 and 6.3;2.2;Double stars : Yellow
Sigm 2744;21h04m;+1°34';AQUARIUS;double star;6.2 and 7.3;2.1;Double stars : Yellow
101 Aquarii;23h34m;-20°52';AQUARIUS;double star;4.7 and 7.6;1.2;Double stars Blue and Yellow
Zeta 1 Aqu.;22h29m;+0°02';AQUARIUS;double star;4.3 and 4.4;1.2;Double stars Green and White
12 Aquarii;21h04m;-5°47';AQUARIUS;double star;5.5 and 7.5;2.5;Double stars Yellow and Blue
94 Aquarii;23h19m;-13°24';AQUARIUS;double star;5.2 and 6.9;12;Double stars Yellow and Blue
Sigm 2404;18h51m;+10°59';AQUILA;double star;6.3 and 7.6;3.6;Double stars : Orange
57 Aquilae;19h55m;-8°12';AQUILA;double star;5.7 and 6.5;35;Double stars : White
Pi Aquilae;19h49m;+11°50';AQUILA;double star;5.8 and 6.7;1.3;Double stars : Yellow
15 Aquilae;19h05m;-4°01';AQUILA;double star;5.4 and 7.1;39;Double stars : Yellow
11 Aquilae;18h59m;+13°37;AQUILA;double star;5.3 and 9.3;20;Double stars Green and Yellow
5 Aquilae;18h47m;-0°57';AQUILA;multiple star;5.8 and 7.5;12;Multiple stars : Blue, White and 2 Yellow
Epsilon Ari.;2h59m;+21°23';ARIES;double star;4.6 and 5.5;1.3;Double stars : White
30 Arietis;2h38m;+24°39';ARIES;double star;6.5 and 7.1;37;Double stars : Yellow
