IC65;1h0.9m;+47°41';ANDROMEDA;Galaxy Type SBbc;12.9;3'x1';Distance : 120 Mly
IC239;2h36.5m;+38°58';ANDROMEDA;Galaxy Type SBa;11.1;5'x4';Distance : 41 Mly
IC179;2h0.2m;+38°1';ANDROMEDA;Galaxy Type E3;12.6;2'x1';Distance : 193 Mly
IC1525;23h59.3m;+46°53';ANDROMEDA;Galaxy Type SBb;12.2;2'x1';Distance : 231 Mly
IC5321;23h26.3m;-17°57';AQUARIUS;Galaxy Type Sa;13;1'x1';Distance : 132 Mly
IC5210;22h22.5m;-18°52';AQUARIUS;Galaxy Type E-S0;13;1'x1';Distance : 330 Mly
IC1447;22h30m;-5°7';AQUARIUS;Galaxy Type Sb;12.8;2'x1';Distance : 136 Mly
IC1445;22h25.5m;-17°15';AQUARIUS;Galaxy Type E-S0;12.7;2'x1';Distance : 120 Mly
IC4846;19h16.5m;-9°3';AQUILAE;Planetary Nebula;11.9;;
IC267;2h53.8m;+12°51';ARIES;Galaxy Type SBb;13;2'x1';Distance : 164 Mly
IC238;2h35.4m;+12°50';ARIES;Galaxy Type S0;12.8;1'x1';Distance : 276 Mly
IC196;2h3.8m;+14°44';ARIES;Galaxy Type SBb;12.9;3'x1';Distance : 168 Mly
IC163;1h49.3m;+20°43';ARIES;Galaxy Type SBdm;13;2'x1';Distance : 126 Mly
IC2149;5h56.4m;+46°6';AURIGA;Planetary Nebula;10.6;1';Distance : 5200 ly
IC983;14h10.1m;+17°44';BOOTES;Galaxy Type SBab;11.7;4'x3';Distance : 250 Mly
IC982;14h10m;+17°42';BOOTES;Galaxy Type S0;13;1'x1';Distance : 251 Mly
IC959;13h56.1m;+13°30';BOOTES;Galaxy Type Sa;12.9;2'x1';Distance : 316 Mly
IC4567;15h37.2m;+43°18';BOOTES;Galaxy Type Sc;12.8;1'x1';Distance : 264 Mly
IC4562;15h36m;+43°30';BOOTES;Galaxy Type E0;12.6;1'x1';Distance : 260 Mly
IC1079;14h56.6m;+9°22';BOOTES;Galaxy Type E4;12.9;2'x1';Distance : 399 Mly
IC1029;14h32.5m;+49°54';BOOTES;Galaxy Type Sb;12.4;3'x1';Distance : 110 Mly
IC1014;14h28.3m;+13°47';BOOTES;Galaxy Type SBdm;12.4;3'x2';Distance : 59 Mly
IC529;9h18.5m;+73°46';CAMELOPARDA;Galaxy Type Sc;11.9;3'x1';Distance : 104 Mly
IC520;8h53.7m;+73°29';CAMELOPARDA;Galaxy Type SBab;11.7;2'x1';Distance : 160 Mly
IC512;9h3.8m;+85°30';CAMELOPARDA;Galaxy Type Sc;12.2;2'x1';Distance : 74 Mly
IC499;8h45.3m;+85°44';CAMELOPARDA;Galaxy Type Sa;12.5;2'x1';Distance : 86 Mly
IC467;7h30.3m;+79°52';CAMELOPARDA;Galaxy Type SBc;12.6;3'x1';Distance : 94 Mly
IC449;6h45.7m;+71°21';CAMELOPARDA;Galaxy Type E2;12.5;2'x1';Distance : 162 Mly
IC442;6h36.2m;+82°58';CAMELOPARDA;Galaxy Type E-S0;12.9;1'x1';Distance : 196 Mly
IC396;4h58m;+68°19';CAMELOPARDA;Galaxy Type S?;12.1;2'x2';Distance : 41 Mly
IC391;4h57.4m;+78°11';CAMELOPARDA;Galaxy Type Sc/P;12.7;1'x1';Distance : 72 Mly
IC381;4h44.5m;+75°38';CAMELOPARDA;Galaxy Type SBbc;12.3;2'x1';Distance : 114 Mly
IC361;4h18.8m;+58°15';CAMELOPARDA;Open Cluster Type II1r;11.7;7';Distance : 10500 ly
IC3568;12h33.1m;+82°34';CAMELOPARDA;Planetary Nebula;10.6;;Distance : 8900 ly
IC356;4h7.8m;+69°49';CAMELOPARDA;Galaxy Type Sb/P;10.6;6'x4';Distance : 41 Mly
IC342;3h46.8m;+68°6';CAMELOPARDA;Galaxy Type SBc;8.4;21'x21';Distance : 1 Mly
IC334;3h45.3m;+76°38';CAMELOPARDA;Galaxy Type I/P;11.3;3'x2';Distance : 117 Mly
IC2179;7h15.5m;+64°56';CAMELOPARDA;Galaxy Type E1;12.4;1'x1';Distance : 199 Mly
IC509;8h32.1m;+24°1';CANCER;Galaxy Type Sc;13;1'x1';Distance : 251 Mly
