NGC7640;23h22.1m;+40°51';ANDROMEDA;Galaxy Type SBc;11.3;11'x2';Distance : 5 Mly
NGC812;2h6.9m;+44°34';ANDROMEDA;Galaxy Type Sbc;11.3;2'x1';Distance : 73 Mly
NGC7723;23h39m;-12°58';AQUARIUS;Galaxy Type SBb;11.2;4'x2';Distance : 26 Mly
NGC7492;23h8.4m;-15°37';AQUARIUS;Globular Cluster type XII;11.2;4';Distance : 85800 ly
NGC7585;23h18m;-4°39';AQUARIUS;Galaxy Type S0-a;11.4;2'x2';Distance : 50 Mly
NGC7371;22h46.1m;-11°0';AQUARIUS;Galaxy Type SB0-a;11.5;2'x2';Distance : 38 Mly
NGC7443;23h0.1m;-12°48';AQUARIUS;Galaxy Type S0-a;11.6;1'x1';Distance : 49 Mly
NGC7721;23h38.8m;-6°31';AQUARIUS;Galaxy Type Sc;11.6;3'x1';Distance : 28 Mly
NGC6814;19h42.7m;-10°19';AQUILAE;Galaxy Type SBbc;11.2;3'x3';Distance : 22 Mly
NGC6803;19h31.3m;+10°3';AQUILAE;Planetary Nebula;11.4;;Distance : 26100 ly
NGC6781;19h18.5m;+6°32';AQUILAE;Planetary Nebula;11.4;2';Distance : 1600 ly
NGC6741;19h2.6m;-0°27';AQUILAE;Planetary Nebula;11.5;;Distance : 7000 ly
NGC691;1h50.7m;+21°46';ARIES;Galaxy Type Sbc;11.4;3'x3';Distance : 38 Mly
NGC972;2h34.2m;+29°19';ARIES;Galaxy Type Sab;11.4;3'x2';Distance : 22 Mly
NGC5676;14h32.8m;+49°27';BOOTES;Galaxy Type Sbc;11.2;4'x2';Distance : 30 Mly
NGC5669;14h32.7m;+9°54';BOOTES;Galaxy Type SBc;11.3;4'x3';Distance : 19 Mly
NGC5582;14h20.7m;+39°42';BOOTES;Galaxy Type E4;11.6;3'x2';Distance : 19 Mly
NGC2366;7h28.9m;+69°13';CAMELOPARDA;Galaxy Type IBm;11.1;8'x3';Distance : 10 Mly
NGC2715;9h8.1m;+78°5';CAMELOPARDA;Galaxy Type SBc;11.2;5'x2';Distance : 19 Mly
NGC1560;4h32.8m;+71°53';CAMELOPARDA;Galaxy Type Scd;11.4;10'x2';Distance : 3 Mly
NGC1501;4h7m;+60°55';CAMELOPARDA;Planetary Nebula;11.5;1';Distance : 5800 ly
