Cr401;19h38.4m;-00°20m;AQUILA;open cluster;7;60;
Cr62;05h22.5m;+41°0m;AURIGA;open cluster;4.2;1680;
Kem1;03h57.4m;+63Â°04';CAMELOPARDA;asterism;-;180;Kemble-s Cascade
Cr464;05h22m;+73°0m;CAMELOPARDA;open cluster;4.2;7200;
Cr121;06h54.2m;-24°38m;CANIS MAJ;open cluster;2.6;3000;
Cr132;07h14.4m;-31°10m;CANIS MAJ;open cluster;3.6;5700;
Cr140;07h23.9m;-32°12m;CANIS MAJ;open cluster;3.5;2520;
Cr145;07h26.1m;-24°18m;CANIS MAJ;open cluster;10;360;Trumpler 6
VY Canis M;7h23m;-25°46';CANIS MAJ;supergiant star;6.5 to 9.6;;1420 x Sun
Cr15;01h35.7m;+61°17m;CASSIOPEIA;open cluster;8.1;444;Trumpler 1
Cr36;03h11.8m;+63°15m;CASSIOPEIA;open cluster;7;1380;Trumpler 3
Cr458;23h54.1m;+61°46m;CASSIOPEIA;open cluster;9;360;Harvard 21
Cr463;01h48.4m;+71°57m;CASSIOPEIA;open cluster;5.7;-;
Cr427;20h59.5m;+68°10m;CEPHEUS;open cluster;13.8;240;
Cr471;22h7.1m;+72°0m;CEPHEUS;open cluster;-;7800;
VV Cephei;21h56.6m;+63°37';CEPHEUS;supergiant star;4.8 à 5.4;;1050 to 1900 x Sun
Mel111;12h25.1m;+26Â°07';COMA BER;open cluster;1.6;300;Cr256 Coma Berenices Cluster
Cr419;20h18.1m;+40°43m;CYGNUS;open cluster;7.6;270;
Cr421;20h23.3m;+41°42m;CYGNUS;open cluster;10.1;300;
Cr428;21h3.2m;+44°35m;CYGNUS;open cluster;8.7;780;
Cygnus X1;19h58.4m;+35°13';CYGNUS;black hole;9;;Blue giant orbit around a 10 solar mass Black Hole : first Black hole discovered
Cygnus X3;20h32.5m;+40°57';CYGNUS;black hole;13.2;;Blue giant orbit around a 2.4 solar mass Black Hole
Cr80;06h5m;+24°0m;GEMINI;open cluster;8.4;360;Trumpler 4
Cr89;06h18m;+23°38m;GEMINI;open cluster;5.7;3600;
Mkr 501;16h53.9m;+39°46';HERCULES;quasar;13.9;;456 millions light year
Cr95;06h30.5m;+09°56m;MONOCEROS;open cluster;-;1620;
Cr91;06h21.7m;+02°22m;MONOCEROS;open cluster;6.4;1020;
Cr92;06h22.9m;+05°7m;MONOCEROS;open cluster;8.6;660;
Cr96;06h30.3m;+02°52m;MONOCEROS;open cluster;7.3;420;
Cr97;06h31.3m;+05°55m;MONOCEROS;open cluster;5.4;1260;
Cr104;06h36.5m;+04°49m;MONOCEROS;open cluster;9.6;1260;
Cr105;06h37.6m;+09°26m;MONOCEROS;open cluster;10.9;480;Trumpler 5
